Marque	Modèle	Qté	Type	Lien prix	Prix Achat Unitaire	Prix Total	Lien	Concurrent 1	Jour	Semaine	Mois	Garantie	Concurrent 2	Jour	Semaine	Mois	Garantie
ARROW	T50	1.0	AGRAFEUSE	Lien prix	59.0		https://arrowfastener.com/tool/t50/	https://www.abloc.be/produit/agrafeuse-manuelle/	5.0	20.0	/	50.0	https://pro-loc.be/construction-renovation/327-agrafeuse-mauelle.html	5.0	20.0	/	50.0
EDMA	TOP GRAFER 20/22 AGRAFEUSE	1.0	AGRAFEUSE	Lien prix	32.0		https://www.edma.fr/fr/paysagiste/3728-top-grafer-20-22-agrafeuse-manuelle--grillage-avec-chargeur-3476060004116.html	/									
PREBENA	PRP ES40	1.0	AGRAFEUSE	Lien prix	139.0		https://www.prebenauk.co.uk/index.php?route=product/product&product_id=194	/	12.0		4.0	100.0	https://www.abloc.be/produit/agrafeuse-pneumatique/	20.0	80.0	/	100.0
FLEX	VC21L MC	1.0	ASPIRATEUR	Lien prix	235.0		https://www.flex-tools.com/fr-be/produits/aspirateurs-et-epurateurs-d-air/aspirateurs-de-securite/vc-21-l-mc	/	35.0	96.0	240.0	200.0					
MAKITA	VC3011L	1.0	ASPIRATEUR	Lien prix	219.0		https://www.makita.be/produit/vc3011l.html	/	15.0	12.0		40.0					
METABO	ASR 35 L ACP	1.0	ASPIRATEUR	Lien prix	819.0		https://www.metabo.com/be/fr/machines/aspiration/aspirateur-tous-usages/asr-35-l-acp-602057000-aspirateur-tous-usages.html?listtype=search&searchparam=ASR%2B35%2BL%2BACP	/	26.0	78.0	195.0	200.0					
NILFISK	ATTIX 9	1.0	ASPIRATEUR	Lien prix	1900.0		https://topnet-dz.com/produit/nilfisk-attix-961-01/	/	71.0	213.0							
SPIT	AC 1630P	1.0	ASPIRATEUR	Lien prix	890.0		https://www.spitpaslode.be/fr/Outils-diamant-et-aspirateurs/Aspirateurs/AC-1630P_pBX_87904sharp0.htm	/	25.0	150.0	255.0	200.0					
BRICOLOC	AUGE A MORTIER GRUE 200L	1.0	AUGUE A MORTIER	Lien prix	140.0		https://www.logemat.be/auge-a-mortier-rectangulaire-jaune-200-l-gs-tuv-700-kg-wa-816001?	/									
RUBI	RUBICLEAN TRIPLE	2.0	BAC NETTOYAGE	Lien prix	59.0		https://www.rubi.com/fr/bac-rubiclean-triple-superpro-r530	/									
HIKOKI	H45MEY	1.0	BURINEUR	Lien prix	589.0		https://fr.hikoki-powertools.be/machines/outillage-electriques/marteaux/h45meywtz/	https://www.loxam.be/fr/p/marteau-piqueur-electrique-6kg/002-0007-011526	82.0	120.0	525.0						
MAKITA	HM1214C	1.0	BURINEUR	Lien prix	690.0		https://www.makita.be/produit/hm1214c.html	/									
MAKITA	HR3200C	1.0	BURINEUR	Lien prix	559.0		https://www.makita.be/produit/hr3200c.html	https://www.rentiteasy.be/fr/location/construction-et-amenagementoutil/marteau-piqueur-brise-beton/marteau-burineur-perforateur	35.0	140.0	350.0						
RIGID	MICRO CA_100	1.0	CAMERA INSPECTION	Lien prix	315.0		https://www.ridgid.eu/fr/fr/camera-d-inspection-micro-ca150	/									
MAKITA	DBM131	1.0	CAROTTEUSE DIAMANT	Lien prix	785.0		https://www.makita.be/produit/dbm131.html	http://www.dh-location.be/produit/carotteuse/	50.0	200.0	600.0						
REMS	POWER PRESS SE BASIC	1.0	CERTICEUSE RADIALE	Lien prix	889.0		https://www.rems.de/sertissage-radial/sertisseuse-electrique-pour-sertissage-radial/rems-power-press-se.aspx	https://www.tbc-location.be/catalogue/plomberie-et-pompage/plomberie/sertisseuse-rothenberger	40.0	110.0	250.0	150.0					
BRICOLOC	CHALUMEAU	2.0	CHALUMEAU	Lien prix	196.0			https://www.boels.com/fr-be/louer/chalumeau-a-main/p/11809	22.0	45.0							
MACC	LUGE CHARIOT ELEVATEUR	1.0	CHARIOT		399.0		https://www.maccbenelux.be/fr/produits/luge/	/									
MASTER	B 3 ECA	1.0	CHAUFFAGE	Lien prix	109.0		https://lecot.be/fr-be/master/1371953-chauffage-electrique-master-b-3-eca	https://www.boels.com/fr-be/louer/chauffage-electrique-230v-3-kw/p/11305	32.0	64.0							
MASTER	XL6	1.0	CHAUFFAGE	Lien prix	1395.0												
REHEAT	B3000	1.0	CHAUFFAGE	Lien prix	59.0		https://www.hbm-machines.com/fr/p/chauffe-eau-electrique-reheat-b3000	https://www.boels.com/fr-be/louer/chauffage-electrique-230v-3-kw/p/11305	32.0	64.0							
SENCYS	RADIATEUR SOUFFLANT	2.0	CHAUFFAGE	Lien prix	65.0		https://www.brico.be/fr/salle-de-bain-cuisine-interieur/chauffage/chauffage-mobile/chauffage-ceramiques-soufflants/radiateur-soufflant-sencys-3kw/10088881	/									
